學程別,設立別,性別,畢業生人數,公立大學日間部人數,公立大學進修學士班人數,私立大學日間部人數,私立大學進修學士班人數,公立二專日間部人數,公立二專進修(夜間)部人數,私立二專日間部人數,私立二專進修(夜間)部人數,警察大學人數,警察專科學校人數,軍事院校人數,赴國外_大陸就讀人數,其他學校人數,升學率,公立大學日間部比率,公立大學進修學士班比率,私立大學日間部比率,私立大學進修學士班比率,公立二專日間部比率,公立二專進修(夜間)部比率,私立二專日間部比率,私立二專進修(夜間)部比率,警察大學比率,警察專科學校比率,軍事院校比率,赴國外_大陸就讀比率,其他學校比率
普通科,國立,男,11520,6037,72,4378,35,0,0,0,0,18,136,259,71,3,95.56,52.4,0.63,38,0.3,0,0,0,0,0.16,1.18,2.25,0.62,0.03
普通科,國立,女,11694,5274,62,5875,46,0,0,1,0,2,11,143,68,2,98.2,45.1,0.53,50.24,0.39,0,0,0.01,0,0.02,0.09,1.22,0.58,0.02
普通科,縣市立,男,21848,9537,66,10722,192,0,1,0,0,22,96,287,71,4,96.11,43.65,0.3,49.08,0.88,0,0,0,0,0.1,0.44,1.31,0.32,0.02
普通科,縣市立,女,23220,8886,80,13339,172,2,0,1,0,2,16,120,153,2,98.07,38.27,0.34,57.45,0.74,0.01,0,0,0,0.01,0.07,0.52,0.66,0.01
普通科,私立,男,11097,3511,53,6242,204,7,0,4,0,26,47,219,349,7,96.14,31.64,0.48,56.25,1.84,0.06,0,0.04,0,0.23,0.42,1.97,3.14,0.06
普通科,私立,女,11022,2851,37,7293,143,1,1,4,0,10,6,77,372,0,97.94,25.87,0.34,66.17,1.3,0.01,0.01,0.04,0,0.09,0.05,0.7,3.38,0
專業群科,國立,男,12233,4643,562,4256,307,73,3,9,9,0,3,129,2,4,81.75,37.95,4.59,34.79,2.51,0.6,0.02,0.07,0.07,0,0.02,1.05,0.02,0.03
專業群科,國立,女,8745,3236,287,4027,126,28,10,6,7,1,1,48,2,2,88.98,37,3.28,46.05,1.44,0.32,0.11,0.07,0.08,0.01,0.01,0.55,0.02,0.02
專業群科,縣市立,男,8709,4463,347,3011,117,18,3,5,0,0,5,48,5,0,92.11,51.25,3.98,34.57,1.34,0.21,0.03,0.06,0,0,0.06,0.55,0.06,0
專業群科,縣市立,女,5464,2448,93,2529,50,9,2,1,0,0,0,20,4,0,94.36,44.8,1.7,46.28,0.92,0.16,0.04,0.02,0,0,0,0.37,0.07,0
