Category1Title,Category2Title,Category3Title,Category4Title,Category5Title,Period,Val
總計,國中,-,-,-,9700,95.380
總計,高中,-,-,-,9700,95.320
總計,高職,-,-,-,9700,76.370
男,國中,-,-,-,9700,94.760
男,高中,-,-,-,9700,94.730
男,高職,-,-,-,9700,74.890
女,國中,-,-,-,9700,96.060
女,高中,-,-,-,9700,95.900
女,高職,-,-,-,9700,78.140
女,高職,-,-,-,9800,78.900
女,高中,-,-,-,9800,96.230
女,國中,-,-,-,9800,97.860
男,高職,-,-,-,9800,75.270
男,高中,-,-,-,9800,94.880
男,國中,-,-,-,9800,97.420
總計,高職,-,-,-,9800,76.910
總計,高中,-,-,-,9800,95.560
總計,國中,-,-,-,9800,97.630
總計,國中,-,-,-,9900,98.150
總計,高中,-,-,-,9900,95.240
總計,高職,-,-,-,9900,79.640
男,國中,-,-,-,9900,97.830
男,高中,-,-,-,9900,94.450
男,高職,-,-,-,9900,78.020
女,國中,-,-,-,9900,98.500
女,高中,-,-,-,9900,96.010
女,高職,-,-,-,9900,81.620
女,高職,-,-,-,10000,83.640
女,高中,-,-,-,10000,95.720
女,國中,-,-,-,10000,98.040
男,高職,-,-,-,10000,80.460
男,高中,-,-,-,10000,93.590
男,國中,-,-,-,10000,97.320
總計,高職,-,-,-,10000,81.910
總計,高中,-,-,-,10000,94.670
總計,國中,-,-,-,10000,97.670
總計,國中,-,-,-,10100,99.150
總計,高中,-,-,-,10100,94.750
總計,高職,-,-,-,10100,83.510
男,國中,-,-,-,10100,98.990
男,高中,-,-,-,10100,93.390
男,高職,-,-,-,10100,81.540
女,國中,-,-,-,10100,99.330
女,高中,-,-,-,10100,96.090
女,高職,-,-,-,10100,85.820
女,高職,-,-,-,10200,84.280
女,高中,-,-,-,10200,96.730
女,國中,-,-,-,10200,99.440
男,高職,-,-,-,10200,78.420
男,高中,-,-,-,10200,94.220
男,國中,-,-,-,10200,99.350
總計,高職,-,-,-,10200,81.100
總計,高中,-,-,-,10200,95.500
總計,國中,-,-,-,10200,99.390
總計,國中,-,-,-,10300,99.520
總計,高中,-,-,-,10300,95.700
總計,高職,-,-,-,10300,81.010
男,國中,-,-,-,10300,99.410
男,高中,-,-,-,10300,94.340
男,高職,-,-,-,10300,77.690
女,國中,-,-,-,10300,99.640
女,高中,-,-,-,10300,97.000
女,高職,-,-,-,10300,84.940
女,高職,-,-,-,10400,84.280
女,高中,-,-,-,10400,96.640
女,國中,-,-,-,10400,99.690
男,高職,-,-,-,10400,76.570
男,高中,-,-,-,10400,94.350
男,國中,-,-,-,10400,99.500
總計,高職,-,-,-,10400,80.110
總計,高中,-,-,-,10400,95.500
總計,國中,-,-,-,10400,99.590
總計,國中,-,-,-,10500,99.750
總計,高中,-,-,-,10500,95.800
總計,高職,-,-,-,10500,79.330
男,國中,-,-,-,10500,99.690
男,高中,-,-,-,10500,94.440
男,高職,-,-,-,10500,75.640
女,國中,-,-,-,10500,99.820
女,高中,-,-,-,10500,97.110
女,高職,-,-,-,10500,83.810
女,高職,-,-,-,10600,83.630
女,高中,-,-,-,10600,97.010
女,國中,-,-,-,10600,99.850
男,高職,-,-,-,10600,75.620
男,高中,-,-,-,10600,94.850
男,國中,-,-,-,10600,99.720
總計,高職,-,-,-,10600,79.250
總計,高中,-,-,-,10600,95.950
總計,國中,-,-,-,10600,99.780
總計,國中,-,-,-,10700,99.800
總計,高中,-,-,-,10700,94.300
總計,高職,-,-,-,10700,79.420
男,國中,-,-,-,10700,99.760
男,高中,-,-,-,10700,92.770
男,高職,-,-,-,10700,75.620
女,國中,-,-,-,10700,99.840
女,高中,-,-,-,10700,95.760
女,高職,-,-,-,10700,84.060
女,高職,-,-,-,10800,83.930
女,高中,-,-,-,10800,94.690
女,國中,-,-,-,10800,99.830
男,高職,-,-,-,10800,75.900
男,高中,-,-,-,10800,91.280
男,國中,-,-,-,10800,99.730
總計,高職,-,-,-,10800,79.530
總計,高中,-,-,-,10800,93.040
總計,國中,-,-,-,10800,99.780
總計,國中,-,-,-,10900,99.790
總計,高中,-,-,-,10900,94.950
總計,高職,-,-,-,10900,80.620
男,國中,-,-,-,10900,99.770
男,高中,-,-,-,10900,93.580
男,高職,-,-,-,10900,77.580
女,國中,-,-,-,10900,99.820
女,高中,-,-,-,10900,96.240
女,高職,-,-,-,10900,84.310
女,高職,-,-,-,11000,85.690
女,高中,-,-,-,11000,97.800
女,國中,-,-,-,11000,99.850
男,高職,-,-,-,11000,79.730
男,高中,-,-,-,11000,95.530
男,國中,-,-,-,11000,99.770
總計,高職,-,-,-,11000,82.420
總計,高中,-,-,-,11000,96.690
總計,國中,-,-,-,11000,99.810
