Category1Title,Category2Title,Category3Title,Category4Title,Category5Title,Period,Val
總計,個人申請,-,-,-,9700,80372.000
總計,學校推薦,-,-,-,9700,88117.000
總計,考試分發,-,-,-,9700,83841.000
男,個人申請,-,-,-,9700,38913.000
男,學校推薦,-,-,-,9700,42408.000
男,考試分發,-,-,-,9700,42727.000
女,個人申請,-,-,-,9700,41459.000
女,學校推薦,-,-,-,9700,45709.000
女,考試分發,-,-,-,9700,41114.000
女,考試分發,-,-,-,9800,38573.000
女,學校推薦,-,-,-,9800,43469.000
女,個人申請,-,-,-,9800,38234.000
男,考試分發,-,-,-,9800,40114.000
男,學校推薦,-,-,-,9800,40317.000
男,個人申請,-,-,-,9800,34858.000
總計,考試分發,-,-,-,9800,78687.000
總計,學校推薦,-,-,-,9800,83786.000
總計,個人申請,-,-,-,9800,73092.000
總計,個人申請,-,-,-,9900,71258.000
總計,學校推薦,-,-,-,9900,86083.000
總計,考試分發,-,-,-,9900,75015.000
男,個人申請,-,-,-,9900,34830.000
男,學校推薦,-,-,-,9900,41408.000
男,考試分發,-,-,-,9900,38058.000
女,個人申請,-,-,-,9900,36428.000
女,學校推薦,-,-,-,9900,44675.000
女,考試分發,-,-,-,9900,36957.000
女,考試分發,-,-,-,10000,36130.000
女,繁星推薦,-,-,-,10000,11839.000
女,個人申請,-,-,-,10000,40394.000
男,考試分發,-,-,-,10000,37598.000
男,繁星推薦,-,-,-,10000,6890.000
男,個人申請,-,-,-,10000,39884.000
總計,考試分發,-,-,-,10000,73728.000
總計,繁星推薦,-,-,-,10000,18729.000
總計,個人申請,-,-,-,10000,80278.000
總計,個人申請,-,-,-,10100,94064.000
總計,繁星推薦,-,-,-,10100,19952.000
總計,考試分發,-,-,-,10100,67834.000
男,個人申請,-,-,-,10100,46897.000
男,繁星推薦,-,-,-,10100,7622.000
男,考試分發,-,-,-,10100,35487.000
女,個人申請,-,-,-,10100,47167.000
女,繁星推薦,-,-,-,10100,12330.000
女,考試分發,-,-,-,10100,32347.000
女,考試分發,-,-,-,10200,28451.000
女,繁星推薦,-,-,-,10200,13538.000
女,個人申請,-,-,-,10200,48099.000
男,考試分發,-,-,-,10200,30141.000
男,繁星推薦,-,-,-,10200,8354.000
男,個人申請,-,-,-,10200,47623.000
總計,考試分發,-,-,-,10200,58592.000
總計,繁星推薦,-,-,-,10200,21892.000
總計,個人申請,-,-,-,10200,95722.000
總計,個人申請,-,-,-,10300,87884.000
總計,繁星推薦,-,-,-,10300,22903.000
總計,考試分發,-,-,-,10300,54955.000
男,個人申請,-,-,-,10300,43817.000
男,繁星推薦,-,-,-,10300,8873.000
男,考試分發,-,-,-,10300,27489.000
女,個人申請,-,-,-,10300,44067.000
女,繁星推薦,-,-,-,10300,14030.000
女,考試分發,-,-,-,10300,27466.000
女,考試分發,-,-,-,10400,25145.000
女,繁星推薦,-,-,-,10400,14721.000
女,個人申請,-,-,-,10400,44933.000
男,考試分發,-,-,-,10400,25634.000
男,繁星推薦,-,-,-,10400,9841.000
男,個人申請,-,-,-,10400,45138.000
總計,考試分發,-,-,-,10400,50779.000
總計,繁星推薦,-,-,-,10400,24562.000
總計,個人申請,-,-,-,10400,90071.000
總計,個人申請,-,-,-,10500,80110.000
總計,繁星推薦,-,-,-,10500,24523.000
總計,考試分發,-,-,-,10500,44958.000
男,個人申請,-,-,-,10500,39746.000
男,繁星推薦,-,-,-,10500,9608.000
男,考試分發,-,-,-,10500,21925.000
女,個人申請,-,-,-,10500,40364.000
女,繁星推薦,-,-,-,10500,14915.000
女,考試分發,-,-,-,10500,23033.000
女,考試分發,-,-,-,10600,21054.000
女,繁星推薦,-,-,-,10600,14549.000
女,個人申請,-,-,-,10600,38115.000
男,考試分發,-,-,-,10600,21273.000
男,繁星推薦,-,-,-,10600,9109.000
男,個人申請,-,-,-,10600,37299.000
總計,考試分發,-,-,-,10600,42327.000
總計,繁星推薦,-,-,-,10600,23658.000
總計,個人申請,-,-,-,10600,75414.000
總計,個人申請,-,-,-,10700,77848.000
總計,繁星推薦,-,-,-,10700,24564.000
總計,考試分發,-,-,-,10700,44345.000
男,個人申請,-,-,-,10700,39258.000
男,繁星推薦,-,-,-,10700,9426.000
男,考試分發,-,-,-,10700,21894.000
女,個人申請,-,-,-,10700,38590.000
女,繁星推薦,-,-,-,10700,15138.000
女,考試分發,-,-,-,10700,22451.000
女,考試分發,-,-,-,10800,20079.000
女,繁星推薦,-,-,-,10800,14797.000
女,個人申請,-,-,-,10800,45908.000
男,考試分發,-,-,-,10800,22525.000
男,繁星推薦,-,-,-,10800,9190.000
男,個人申請,-,-,-,10800,44985.000
總計,考試分發,-,-,-,10800,42604.000
總計,繁星推薦,-,-,-,10800,23987.000
總計,個人申請,-,-,-,10800,90893.000
總計,個人申請,-,-,-,10900,87186.000
總計,繁星推薦,-,-,-,10900,24181.000
總計,考試分發,-,-,-,10900,36781.000
男,個人申請,-,-,-,10900,43998.000
男,繁星推薦,-,-,-,10900,9033.000
男,考試分發,-,-,-,10900,20295.000
女,個人申請,-,-,-,10900,43188.000
女,繁星推薦,-,-,-,10900,15148.000
女,考試分發,-,-,-,10900,16486.000
女,考試分發,-,-,-,11000,15769.000
女,繁星推薦,-,-,-,11000,15784.000
女,個人申請,-,-,-,11000,42131.000
男,考試分發,-,-,-,11000,18800.000
男,繁星推薦,-,-,-,11000,9738.000
男,個人申請,-,-,-,11000,43291.000
總計,考試分發,-,-,-,11000,34569.000
總計,繁星推薦,-,-,-,11000,25522.000
總計,個人申請,-,-,-,11000,85422.000
