Category1Title,Category2Title,Category3Title,Category4Title,Category5Title,Period,Val
總計,個人申請,-,-,-,9700,19400.000
總計,學校推薦,-,-,-,9700,9034.000
總計,考試分發,-,-,-,9700,81409.000
男,個人申請,-,-,-,9700,9980.000
男,學校推薦,-,-,-,9700,3894.000
男,考試分發,-,-,-,9700,41547.000
女,個人申請,-,-,-,9700,9420.000
女,學校推薦,-,-,-,9700,5140.000
女,考試分發,-,-,-,9700,39862.000
女,考試分發,-,-,-,9800,37452.000
女,學校推薦,-,-,-,9800,5039.000
女,個人申請,-,-,-,9800,9378.000
男,考試分發,-,-,-,9800,38982.000
男,學校推薦,-,-,-,9800,3844.000
男,個人申請,-,-,-,9800,9783.000
總計,考試分發,-,-,-,9800,76434.000
總計,學校推薦,-,-,-,9800,8883.000
總計,個人申請,-,-,-,9800,19161.000
總計,個人申請,-,-,-,9900,23272.000
總計,學校推薦,-,-,-,9900,9721.000
總計,考試分發,-,-,-,9900,71165.000
男,個人申請,-,-,-,9900,11993.000
男,學校推薦,-,-,-,9900,4262.000
男,考試分發,-,-,-,9900,35954.000
女,個人申請,-,-,-,9900,11279.000
女,學校推薦,-,-,-,9900,5459.000
女,考試分發,-,-,-,9900,35211.000
女,考試分發,-,-,-,10000,33256.000
女,繁星推薦,-,-,-,10000,4137.000
女,個人申請,-,-,-,10000,16984.000
男,考試分發,-,-,-,10000,33427.000
男,繁星推薦,-,-,-,10000,2653.000
男,個人申請,-,-,-,10000,17263.000
總計,考試分發,-,-,-,10000,66683.000
總計,繁星推薦,-,-,-,10000,6790.000
總計,個人申請,-,-,-,10000,34247.000
總計,個人申請,-,-,-,10100,39587.000
總計,繁星推薦,-,-,-,10100,8213.000
總計,考試分發,-,-,-,10100,59696.000
男,個人申請,-,-,-,10100,19568.000
男,繁星推薦,-,-,-,10100,3253.000
男,考試分發,-,-,-,10100,30722.000
女,個人申請,-,-,-,10100,20019.000
女,繁星推薦,-,-,-,10100,4960.000
女,考試分發,-,-,-,10100,28974.000
女,考試分發,-,-,-,10200,27127.000
女,繁星推薦,-,-,-,10200,5929.000
女,個人申請,-,-,-,10200,21459.000
男,考試分發,-,-,-,10200,28180.000
男,繁星推薦,-,-,-,10200,3741.000
男,個人申請,-,-,-,10200,21727.000
總計,考試分發,-,-,-,10200,55307.000
總計,繁星推薦,-,-,-,10200,9670.000
總計,個人申請,-,-,-,10200,43186.000
總計,個人申請,-,-,-,10300,44436.000
總計,繁星推薦,-,-,-,10300,10940.000
總計,考試分發,-,-,-,10300,52608.000
男,個人申請,-,-,-,10300,22634.000
男,繁星推薦,-,-,-,10300,4262.000
男,考試分發,-,-,-,10300,26141.000
女,個人申請,-,-,-,10300,21802.000
女,繁星推薦,-,-,-,10300,6678.000
女,考試分發,-,-,-,10300,26467.000
女,考試分發,-,-,-,10400,24156.000
女,繁星推薦,-,-,-,10400,7645.000
女,個人申請,-,-,-,10400,22813.000
男,考試分發,-,-,-,10400,24381.000
男,繁星推薦,-,-,-,10400,5076.000
男,個人申請,-,-,-,10400,23964.000
總計,考試分發,-,-,-,10400,48537.000
總計,繁星推薦,-,-,-,10400,12721.000
總計,個人申請,-,-,-,10400,46777.000
總計,個人申請,-,-,-,10500,46434.000
總計,繁星推薦,-,-,-,10500,14322.000
總計,考試分發,-,-,-,10500,43659.000
男,個人申請,-,-,-,10500,24432.000
男,繁星推薦,-,-,-,10500,5535.000
男,考試分發,-,-,-,10500,21172.000
女,個人申請,-,-,-,10500,22002.000
女,繁星推薦,-,-,-,10500,8787.000
女,考試分發,-,-,-,10500,22487.000
女,考試分發,-,-,-,10600,20564.000
女,繁星推薦,-,-,-,10600,9116.000
女,個人申請,-,-,-,10600,21636.000
男,考試分發,-,-,-,10600,20458.000
男,繁星推薦,-,-,-,10600,5530.000
男,個人申請,-,-,-,10600,23328.000
總計,考試分發,-,-,-,10600,41022.000
總計,繁星推薦,-,-,-,10600,14646.000
總計,個人申請,-,-,-,10600,44964.000
總計,個人申請,-,-,-,10700,46648.000
總計,繁星推薦,-,-,-,10700,15026.000
總計,考試分發,-,-,-,10700,40301.000
男,個人申請,-,-,-,10700,24170.000
男,繁星推薦,-,-,-,10700,5611.000
男,考試分發,-,-,-,10700,19445.000
女,個人申請,-,-,-,10700,22478.000
女,繁星推薦,-,-,-,10700,9415.000
女,考試分發,-,-,-,10700,20856.000
女,考試分發,-,-,-,10800,16797.000
女,繁星推薦,-,-,-,10800,9101.000
女,個人申請,-,-,-,10800,26279.000
男,考試分發,-,-,-,10800,17836.000
男,繁星推薦,-,-,-,10800,5449.000
男,個人申請,-,-,-,10800,25238.000
總計,考試分發,-,-,-,10800,34633.000
總計,繁星推薦,-,-,-,10800,14550.000
總計,個人申請,-,-,-,10800,51517.000
總計,個人申請,-,-,-,10900,52322.000
總計,繁星推薦,-,-,-,10900,14840.000
總計,考試分發,-,-,-,10900,33521.000
男,個人申請,-,-,-,10900,25629.000
男,繁星推薦,-,-,-,10900,5322.000
男,考試分發,-,-,-,10900,18302.000
女,個人申請,-,-,-,10900,26693.000
女,繁星推薦,-,-,-,10900,9518.000
女,考試分發,-,-,-,10900,15219.000
女,考試分發,-,-,-,11000,15490.000
女,繁星推薦,-,-,-,11000,9550.000
女,個人申請,-,-,-,11000,25406.000
男,考試分發,-,-,-,11000,18379.000
男,繁星推薦,-,-,-,11000,5597.000
男,個人申請,-,-,-,11000,25361.000
總計,考試分發,-,-,-,11000,33869.000
總計,繁星推薦,-,-,-,11000,15147.000
總計,個人申請,-,-,-,11000,50767.000
